region,cluster
Алтайский край,0
Амурская область,2
Архангельская область без Ненецкого АО,2
Астраханская область,2
Белгородская область,2
Брянская область,0
Владимирская область,2
Волгоградская область,2
Вологодская область,2
Воронежская область,2
Еврейская автономная область,0
Забайкальский край,0
Ивановская область,0
Иркутская область,2
Кабардино-Балкарская Республика,0
Калининградская область,2
Калужская область,2
Камчатский край,2
Карачаево-Черкесская Республика,0
Кемеровская область,2
Кировская область,0
Костромская область,0
Краснодарский край,2
Красноярский край,2
Курганская область,0
Курская область,2
Ленинградская область,2
Липецкая область,2
Магаданская область,1
Москва,1
Московская область,2
Мурманская область,2
Ненецкий автономный округ,1
Нижегородская область,2
Новгородская область,0
Новосибирская область,2
Омская область,2
Оренбургская область,2
Орловская область,2
Пензенская область,2
Пермский край,2
Приморский край,2
Псковская область,0
Республика Адыгея,2
Республика Алтай,0
Республика Башкортостан,2
Республика Бурятия,0
Республика Дагестан,0
Республика Ингушетия,3
Республика Калмыкия,0
Республика Карелия,2
Республика Коми,2
Республика Крым,0
Республика Марий Эл,0
Республика Мордовия,0
Республика Саха (Якутия),2
Республика Северная Осетия-Алания,0
Республика Татарстан,2
Республика Тыва,0
Республика Хакасия,2
Ростовская область,2
Рязанская область,2
Самарская область,2
Санкт-Петербург,1
Саратовская область,0
Сахалинская область,1
Свердловская область,2
Севастополь,0
Смоленская область,0
Ставропольский край,2
Тамбовская область,2
Тверская область,2
Томская область,2
Тульская область,2
Тюменская область без округов,2
Удмуртская Республика,2
Ульяновская область,0
Хабаровский край,2
Ханты-Мансийский автономный округ - Югра,1
Челябинская область,2
Чеченская Республика,0
Чувашская Республика,0
Чукотский автономный округ,1
Ямало-Ненецкий автономный округ,1
Ярославская область,2
